,date,BasketDay,branch,item,sub_category,brand,department,category,SupplierName,Week,WeekDay,tempavg,precipitation,wind_speed,War,Recall
0,2022-04-01,248089.19659999,71 - ראשון מזרח,טונה בשמן רביעייה 160 גר - וילי פוד,מארזי טונה בשמן,וילי פוד,מכולת,דגים/בשר משומר,"ג.וילי-פוד אינטרנשיונל בע""מ",14.0,יום ו׳,17.0,0.0,7.800000000000001,-1.6666666666666667,-1.3333333333333333
1,2022-04-01,248089.19659999,71 - ראשון מזרח,טונה סטאריקיסט בשמן 160 גר' רביעייה,מארזי טונה בשמן,סטארקיסט,מכולת,דגים/בשר משומר,סטארקיסט דיפלומט היינץ,14.0,יום ו׳,17.0,0.0,7.800000000000001,-1.6666666666666667,-1.3333333333333333
2,2022-04-01,248089.19659999,71 - ראשון מזרח,טונה סטארקיסט במים 160 גר' רביעייה,מארזי טונה במים,סטארקיסט,מכולת,דגים/בשר משומר,סטארקיסט דיפלומט היינץ,14.0,יום ו׳,17.0,0.0,7.800000000000001,-1.6666666666666667,-1.3333333333333333
3,2022-04-01,248089.19659999,71 - ראשון מזרח,"גפילטע פיש מדגי קרפיון וכסיף בעל""ז 560 גר'",גפילטעפיש,דלידג,מכולת,דגים/בשר משומר,"נטו מלינדה סחר בע""מ",14.0,יום ו׳,17.0,0.0,7.800000000000001,-1.6666666666666667,-1.3333333333333333
4,2022-04-01,248089.19659999,71 - ראשון מזרח,נתחי טונה בהירה בשמן ויליגר (140x4 גרם),מארזי טונה בשמן,ויליגר,מכולת,דגים/בשר משומר,"נטו מלינדה סחר בע""מ",14.0,יום ו׳,17.0,0.0,7.800000000000001,-1.6666666666666667,-1.3333333333333333
5,2022-04-01,248089.19659999,71 - ראשון מזרח,נתחי טונה בהירה בשמן פוסידון (108x4 גרם),מארזי טונה בשמן,פוסידון,מכולת,דגים/בשר משומר,"נטו מלינדה סחר בע""מ",14.0,יום ו׳,17.0,0.0,7.800000000000001,-1.6666666666666667,-1.3333333333333333
6,2022-04-01,248089.19659999,71 - ראשון מזרח,טונה במים רביעייה 160 גר - וילי פוד,מארזי טונה במים,וילי פוד,מכולת,דגים/בשר משומר,"ג.וילי-פוד אינטרנשיונל בע""מ",14.0,יום ו׳,17.0,0.0,7.800000000000001,-1.6666666666666667,-1.3333333333333333
7,2022-04-01,248089.19659999,71 - ראשון מזרח,טונה בשמן צמחי 158 גר' רביעייה פילטונה,מארזי טונה בשמן,פיל - טונה,מכולת,דגים/בשר משומר,"פילטונה תעשיות בע""מ",14.0,יום ו׳,17.0,0.0,7.800000000000001,-1.6666666666666667,-1.3333333333333333
8,2022-04-01,248089.19659999,71 - ראשון מזרח,שלשות נתחי טונה בשמן צמחי 80 גר',מארזי טונה בשמן,וילי פוד,מכולת,דגים/בשר משומר,"ג.וילי-פוד אינטרנשיונל בע""מ",14.0,יום ו׳,17.0,0.0,7.800000000000001,-1.6666666666666667,-1.3333333333333333
9,2022-04-01,248089.19659999,71 - ראשון מזרח,כבד דג שיבוט בשמן הדג 115 גר',שפרוטים/מקרלים שימורים,וילי פוד,מכולת,דגים/בשר משומר,"ג.וילי-פוד אינטרנשיונל בע""מ",14.0,יום ו׳,17.0,0.0,7.800000000000001,-1.6666666666666667,-1.3333333333333333
