,0
0,358.1981
1,1231.2976
2,299.6
3,79.1992
4,161.1
5,397.9923
6,99.5
7,139.3
8,9.9
9,29.7
10,84.5
11,240.0
12,74.7
13,15.6
14,14.112
15,79.5946
16,55.8
17,23.6
18,9.8
19,17.9
20,24.9
21,14.7
22,47.8
23,5.9
24,15.8
25,19.8
26,848.9963
27,517.4
28,158.004
29,244.5
30,59.7
31,143.2
32,79.6
33,264.9
34,234.7987
35,39.7928
36,29.7
37,55.8
38,139.3
39,19.9
40,20.0
41,21.9
42,23.9
43,69.3
44,9.9
45,13.9
46,13.7961
47,7.8
48,23.7
49,4.9
50,48.0
51,6.1
52,7.8
53,1704.8146
54,314.7
55,19.5
56,119.4
57,39.7999
58,318.3988
59,169.7944
60,207.9
61,249.9
62,537.2972
63,39.8
64,67.6
65,9.9
66,49.4928
67,11.8991
68,178.9905
69,5.9
70,6.1
71,23.7
72,13.9
73,23.9
74,139.5
75,19.6
76,29.8
77,9.9
78,11.8
79,20.0
80,72.0
81,6.1
82,71.342
83,7.8
84,19.8
85,11.8
86,1704.8146
87,314.7
88,19.5
89,119.4
90,39.7999
91,318.3988
92,169.7944
93,207.9
94,249.9
95,537.2972
96,39.8
97,67.6
98,9.9
99,49.4928
100,11.8991
101,178.9905
102,5.9
103,6.1
104,23.7
105,13.9
106,23.9
107,139.5
108,19.6
109,29.8
110,9.9
111,11.8
112,20.0
113,72.0
114,6.1
115,71.342
116,7.8
117,19.8
118,11.8
119,2528.5877
120,15.8
121,4.9
122,376.1978
123,69.2994
124,344.8992
125,79.5935
126,238.8
127,557.1878
128,596.9842
129,135.1991
130,111.6
131,143.1989
132,24.0
133,11.8968
134,34.368
135,304.8902
136,99.5
137,7.9
138,23.4
139,218.8144
140,13.9
141,23.6
142,55.1
143,14.9
144,20.0
145,12.0
146,35.8
147,20.0
148,20.0
149,47.8
150,4.9
151,6.1
152,8.899
153,27.8
154,4.9
155,11.9
156,7.8
157,2602.9631
158,537.3
159,477.5681
160,3.9
161,118.7996
162,196.9
163,120.0
164,179.6
165,24.8986
166,5.1
167,159.2
168,4.1
169,198.9735
170,23.9
171,39.6
172,198.9895
173,43.8
174,83.6979
175,19.8
176,12.0
177,34.9
178,16.9
179,20.0
180,7.9
181,23.9
182,64.824
183,29.8
184,20.0
185,36.0
186,11.7
187,19.9
188,5.9
189,35.8
190,7.9
191,9.9
192,12.9
193,31.8
194,125.2994
195,87.6
196,19.8
197,2706.454
198,247.496
199,59.7
200,255.5876
201,119.4
202,636.7981
203,278.5792
204,24.8997
205,64.9
206,63.8
207,9.9
208,41.7
209,110.484
210,9.9
211,49.5
212,23.8
213,11.7
214,13.899
215,19.6
216,59.7
217,53.6994
218,7.8
219,69.8
220,15.8983
221,9.8999
222,14.7
223,27.9
224,19.5
225,23.9
226,19.5
227,6.1
228,11.8999
229,19.9
230,437.7985
231,108.5034
232,1030.1825
233,437.7936
234,8.1
235,11.7
236,261.9
237,125.2992
238,30.0
239,216.095
240,99.5
241,119.4
242,24.9
243,21.8967
244,7.9
245,139.3
246,14.9
247,39.8
248,55.3
249,19.6
250,12.9
251,29.9
252,29.4
253,5.9
254,27.9
255,40.0
256,13.9
257,31.6
258,3.9
259,11.8
260,31.8
261,11.9997
262,6.9
263,13.0
264,14.7
265,5.9
266,9.8
267,24.9
268,195.1989
269,24.9
270,59.7
271,10.0
272,27.9
273,1856.4647
274,178.1966
275,537.3
276,11.7
277,95.6
278,378.0956
279,47.4
280,175.2
281,95.6
282,71.6
283,29.7
284,99.5
285,46.9
286,3.9
287,79.6
288,19.9
289,39.8
290,89.4
291,29.7
292,19.8
293,20.0
294,10.9
295,107.4
296,10.0
297,27.9
298,8.9
299,48.3
300,9.8
301,49.8
302,12.0
303,11.9
304,656.6956
305,11.8
306,2098.8727
307,257.8998
308,207.8991
309,835.7806
310,29.9
311,18.3
312,24.9
313,139.3
314,223.2
315,0.0
316,268.5
317,12.0
318,29.7
319,11.6987
320,99.5
321,46.1
322,50.7
323,24.9
324,59.7
325,11.9
326,13.9
327,34.4965
328,9.8
329,4.9
330,0.0
331,26.0
332,9.9
333,159.2
334,6.9
335,9.9
336,14.7
337,43.8
338,15.8
339,47.398
340,19.8
341,139.5
342,10.9
343,20.0
344,2397.0371
345,776.055
346,306.8988
347,716.3963
348,14.7
349,89.1
350,20.7
351,139.3
352,111.6
353,341.498
354,59.6822
355,109.5
356,139.3
357,70.7
358,30.0
359,29.9
360,143.1851
361,31.5964
362,80.7
363,191.2
364,39.6
365,24.0
366,19.9
367,26.7
368,29.8
369,7.9
370,11.9
371,6.1
372,13.9
373,11.8
374,20.0
375,20.0
376,9.9
377,2654.5322
378,120.5
379,29.6987
380,1154.1949
381,277.2
382,218.8427
383,417.8958
384,55.2
385,123.8
386,29.9
387,14.9
388,74.7
389,83.7
390,21.9
391,179.0997
392,11.9
393,79.6
394,13.9
395,198.9435
396,5.1
397,13.0
398,89.5
399,14.9
400,15.8
401,7.8
402,15.8
403,6.1
404,10.0
405,83.3
406,4.9
407,35.8
408,19.8
409,19.6
410,4.9
411,21.024
412,10.9
413,14.7
414,4.9
415,53.6976
416,19.8
417,4.9
418,9.9
419,15.6
420,4.9
421,23.6
422,19.8
423,4.9
424,2317.0539
425,636.7992
426,29.9
427,296.997
428,13.9
429,9.9
430,9.8
431,161.1
432,716.3976
433,74.7
434,257.8914
435,80.7
436,79.6
437,141.4
438,65.7
439,20.0
440,139.3
441,19.9
442,6.1
443,24.0
444,7.9
445,55.7956
446,3.9
447,17.8
448,119.3997
449,9.9
450,23.7
451,14.7
452,17.9
453,13.8
454,20.0
455,23.6
456,29.8
457,23.9
458,40.0
459,318.4
460,179.0977
461,45.8
462,178.1932
463,95.6
464,24.9
465,19.9
466,17.9
467,5.8979
468,1659.8891
469,19.9
470,9.9
471,13.8994
472,29.9
473,99.5
474,79.6
475,29.8997
476,11.8995
477,19.8
478,3.8998
479,43.8
480,29.7
481,3.8998
482,9.9
483,9.8
